timestamp,hbo,hbr,flowActivity,heartRate,flowIntensity
1752420415669.0,-7.689983703880365e-15,1.0431766388618342e-14,272,100,198
1752420415709.0,-7.630931390300005e-15,1.0549999200098284e-14,272,100,198
1752420415749.0,-7.216891521700777e-15,1.0301874450975417e-14,272,100,198
1752420415789.0,-6.717305560679145e-15,9.886566856399733e-15,269,98,195
1752420415829.0,-6.3710969374611556e-15,9.59450707303535e-15,269,98,195
1752420415869.0,-6.698857747795027e-15,1.0026703939873768e-14,269,98,195
1752420415909.0,-7.836360596726267e-15,1.139495013952328e-14,265,101,193
1752420415949.0,-9.366644763712126e-15,1.3253981910225571e-14,265,101,193
1752420415989.0,-1.0712345487427116e-14,1.4934331516194622e-14,265,101,193
1752420416029.0,-1.1371774188732315e-14,1.5832197733158934e-14,262,99,191
1752420416069.0,-1.1390585096406128e-14,1.5953554966833862e-14,262,99,191
1752420416109.0,-1.0914820807624941e-14,1.547210087540734e-14,262,99,191
1752420416149.0,-1.0288008521642727e-14,1.478351560602091e-14,259,102,189
1752420416189.0,-9.799869646203163e-15,1.4197737548783086e-14,259,102,189
1752420416229.0,-9.724310354563215e-15,1.4018963339803e-14,259,102,189
1752420416269.0,-1.0077486388454036e-14,1.428310887007421e-14,256,106,188
1752420416309.0,-1.0622099773873732e-14,1.4782392440333975e-14,256,106,188
1752420416349.0,-1.1209152333351584e-14,1.5345100143554823e-14,256,106,188
1752420416389.0,-1.1650043711040556e-14,1.5774540765185632e-14,253,103,186
1752420416429.0,-1.1947879129722172e-14,1.6046198913002843e-14,253,103,186
1752420416469.0,-1.1955911825497268e-14,1.6018851042606506e-14,253,103,186
1752420416509.0,-1.17530615520485e-14,1.572737797072967e-14,251,101,184
1752420416549.0,-1.1285367228492051e-14,1.5135815807845144e-14,251,101,184
1752420416589.0,-1.0774297477127345e-14,1.4473232191158894e-14,251,101,184
1752420416629.0,-1.0337891985922546e-14,1.3908563324322799e-14,248,104,183
1752420416669.0,-1.0255977688430024e-14,1.3752632464530055e-14,248,104,183
1752420416709.0,-1.022423202297594e-14,1.3719100688936314e-14,248,104,183
1752420416749.0,-1.005671149372182e-14,1.3618783188961516e-14,246,107,181
1752420416789.0,-9.519364521605038e-15,1.3141700352227088e-14,246,107,181
1752420416829.0,-9.011701536750782e-15,1.2670888947427856e-14,246,107,181
1752420416869.0,-8.685847397579276e-15,1.2344696559766418e-14,243,110,180
1752420416909.0,-8.729469594319252e-15,1.2388553666976864e-14,243,110,180
1752420416949.0,-8.876908666479948e-15,1.2544345048677768e-14,243,110,180
1752420416989.0,-9.024523921493495e-15,1.2712922675049e-14,241,108,178
1752420417029.0,-8.956878741016151e-15,1.266563564909424e-14,241,108,178
1752420417069.0,-8.812031024982828e-15,1.2535045756303475e-14,241,108,178
1752420417109.0,-8.558330540318081e-15,1.2286642615685556e-14,238,111,177
1752420417149.0,-8.297639775090944e-15,1.2037442134720752e-14,238,111,177
1752420417189.0,-7.863452380828474e-15,1.1583126414208488e-14,238,111,177
1752420417229.0,-7.399711442377218e-15,1.1072118778593187e-14,236,113,176
1752420417269.0,-6.9820087209734104e-15,1.0587153453259491e-14,236,113,176
1752420417309.0,-6.688710857785698e-15,1.0260991558784124e-14,236,113,176
1752420417349.0,-6.349822010946246e-15,9.904145613480835e-15,233,111,174
1752420417389.0,-5.879784511915716e-15,9.402965818798382e-15,233,111,174
1752420417429.0,-5.244218140432387e-15,8.699814970865534e-15,233,111,174
1752420417469.0,-4.588456527096498e-15,7.947959446169948e-15,231,114,173
1752420417509.0,-3.818985540558798e-15,7.082672092734659e-15,231,114,173
1752420417549.0,-3.0605177943392433e-15,6.1922798121451184e-15,231,114,173
1752420417589.0,-2.261814006755136e-15,5.235123547686811e-15,228,112,170
1752420417629.0,-1.776657110803395e-15,4.589255843853592e-15,228,112,170
1752420417669.0,-1.4403400677474714e-15,4.183422595127787e-15,228,112,170
1752420417709.0,-1.2381079518843845e-15,4.010115560300285e-15,225,110,168
1752420417749.0,-6.671496624862383e-16,3.505485094566326e-15,225,110,168
1752420417789.0,-5.783238320255682e-17,2.9270660595668858e-15,225,110,168
1752420417829.0,4.239184168064834e-16,2.455803327379379e-15,222,112,167
1752420417869.0,2.9999396744315695e-16,2.6151873993224685e-15,222,112,167
1752420417909.0,-2.6120492304886283e-16,3.267663371859242e-15,222,112,167
1752420417949.0,-1.0836665730581173e-15,4.204820059075611e-15,219,110,164
1752420417989.0,-1.9195938499235426e-15,5.163019585779577e-15,219,110,164
1752420418029.0,-2.556065064351872e-15,5.9113257600853994e-15,219,110,164
1752420418069.0,-3.055946075183168e-15,6.516392451578812e-15,216,108,162
1752420418109.0,-3.463374992807847e-15,7.0076546198360985e-15,216,108,162
1752420418149.0,-3.914639418302836e-15,7.524549699117563e-15,216,108,162
1752420418189.0,-4.4755388473552605e-15,8.137719672464937e-15,212,111,160
1752420418229.0,-5.2037768347504866e-15,8.932444099266824e-15,212,111,160
1752420418269.0,-6.1614486599288394e-15,9.965113915585971e-15,212,111,160
1752420418309.0,-7.17386450677781e-15,1.1052603139507963e-14,209,109,158
1752420418349.0,-8.041828766668065e-15,1.196637494113992e-14,209,109,158
1752420418389.0,-8.61413307082739e-15,1.2554748307325542e-14,209,109,158
1752420418429.0,-8.939686230958605e-15,1.28680313481951e-14,206,107,155
1752420418469.0,-9.020415247014791e-15,1.2916674191552747e-14,206,107,155
1752420418509.0,-8.843510722091741e-15,1.2678260957504756e-14,206,107,155
1752420418549.0,-8.446547602380712e-15,1.2204682578413928e-14,203,105,152
1752420418589.0,-8.186000268065836e-15,1.1862455857077e-14,203,105,152
1752420418629.0,-8.345311354003376e-15,1.2016685874713358e-14,203,105,152
1752420418669.0,-8.794202110838219e-15,1.2538300621572202e-14,199,104,150
1752420418709.0,-9.13133308196956e-15,1.3028402354692914e-14,199,104,150
1752420418749.0,-9.020256569509496e-15,1.3043180820853196e-14,199,104,150
1752420418789.0,-8.563473724368664e-15,1.2669906953898655e-14,196,106,148
1752420418829.0,-7.897725874938951e-15,1.2026042765328004e-14,196,106,148
1752420418869.0,-7.191567495357723e-15,1.1306545875595386e-14,196,106,148
1752420418909.0,-6.534896733326025e-15,1.0610396037308906e-14,193,104,146
1752420418949.0,-6.015195433893113e-15,1.004429907292517e-14,193,104,146
1752420418989.0,-5.714558594913414e-15,9.719386834390066e-15,193,104,146
1752420419029.0,-5.6141693794824855e-15,9.614497615259194e-15,190,107,144
1752420419069.0,-5.6653572744997706e-15,9.673666254697524e-15,190,107,144
1752420419109.0,-5.7709371078262815e-15,9.774602653411832e-15,190,107,144
1752420419149.0,-5.902760562931329e-15,9.893287780485158e-15,187,105,142
1752420419189.0,-6.143132419495729e-15,1.0120141838257843e-14,187,105,142
1752420419229.0,-6.5568842968931796e-15,1.0555680532414154e-14,187,105,142
1752420419269.0,-7.073024669819394e-15,1.1114749382097235e-14,185,104,140
1752420419309.0,-7.533288538025645e-15,1.1621203933281282e-14,185,104,140
1752420419349.0,-7.874069091778742e-15,1.1973518252321287e-14,185,104,140
1752420419389.0,-8.200337712405355e-15,1.2288711634829314e-14,182,102,138
