timestamp,hbo,hbr,flowActivity,heartRate,flowIntensity
1752675618174.0,-5.389742635789887e-15,5.276281160897056e-15,10,90,22
1752675618214.0,-5.376697199037953e-15,5.240970051427229e-15,10,90,22
1752675618254.0,-5.3493066946499816e-15,5.191667651748648e-15,10,90,22
1752675618294.0,-5.296220881144115e-15,5.120548789158086e-15,10,90,22
1752675618334.0,-5.2693959124200264e-15,5.080640549543792e-15,10,90,22
1752675618374.0,-5.1901847794038036e-15,4.9886443012344984e-15,10,90,21
1752675618414.0,-5.111591698094144e-15,4.9018505292820384e-15,10,90,21
1752675618454.0,-5.0396277789673825e-15,4.821278496665256e-15,10,90,21
1752675618494.0,-5.039215273922482e-15,4.814262522770165e-15,10,93,22
1752675618534.0,-5.043672361286478e-15,4.807887752815503e-15,10,93,22
1752675618574.0,-5.0461425917025156e-15,4.810116861186132e-15,10,93,22
1752675618614.0,-4.9731582802196505e-15,4.7656631604371e-15,10,93,22
1752675618654.0,-4.9631183987058835e-15,4.812221455713638e-15,10,93,22
1752675618694.0,-4.9334764807463615e-15,4.861616746672009e-15,10,93,22
1752675618734.0,-4.9529331098696526e-15,4.957715740229384e-15,10,96,22
1752675618774.0,-4.933231405880535e-15,5.017185641052323e-15,10,96,22
1752675618814.0,-4.9253170123736216e-15,5.0880136889979515e-15,10,96,22
1752675618854.0,-5.00018681919519e-15,5.231162256940781e-15,10,96,22
1752675618894.0,-5.143875511813511e-15,5.426298036657985e-15,10,96,22
1752675618934.0,-5.3498784418888055e-15,5.663020592944948e-15,10,96,22
1752675618974.0,-5.489589185446483e-15,5.8259086990151666e-15,10,96,22
1752675619014.0,-5.575324730904565e-15,5.924226354203498e-15,10,96,22
1752675619054.0,-5.584412829730883e-15,5.9387487340696505e-15,10,96,22
1752675619094.0,-5.567638471604549e-15,5.920010953573544e-15,10,96,22
1752675619134.0,-5.534772463906685e-15,5.8803763056009394e-15,10,96,22
1752675619174.0,-5.5353357408160456e-15,5.864672597118864e-15,10,96,22
1752675619214.0,-5.5698029231269336e-15,5.871598785521636e-15,10,96,22
1752675619254.0,-5.6179522286211414e-15,5.890140619062808e-15,10,96,22
1752675619294.0,-5.683520201969581e-15,5.924193037574272e-15,10,96,22
1752675619334.0,-5.747209173898575e-15,5.958771463545457e-15,10,93,22
1752675619374.0,-5.796241652411567e-15,5.969261966586711e-15,10,93,22
1752675619414.0,-5.805959379061382e-15,5.935752496193893e-15,10,93,22
1752675619454.0,-5.752700770834447e-15,5.832925237598889e-15,10,90,21
1752675619494.0,-5.705873119080953e-15,5.735969046699751e-15,10,90,21
1752675619534.0,-5.6093026105167435e-15,5.596180658455319e-15,10,90,21
1752675619574.0,-5.5773491396464775e-15,5.5398117452491776e-15,10,90,21
1752675619614.0,-5.526885175454056e-15,5.502271245064408e-15,10,90,21
1752675619654.0,-5.544615269088253e-15,5.567991401998886e-15,10,90,21
1752675619694.0,-5.539220798596901e-15,5.629336069076539e-15,10,90,21
1752675619734.0,-5.576071249274664e-15,5.725070838466958e-15,10,90,21
1752675619774.0,-5.625816929528533e-15,5.822335349358589e-15,10,90,21
1752675619814.0,-5.6651969029285834e-15,5.892300835420461e-15,10,90,21
1752675619854.0,-5.6349185808819945e-15,5.8793296552234954e-15,10,90,21
1752675619894.0,-5.544571505719356e-15,5.782636044537743e-15,10,90,21
1752675619934.0,-5.454732367980245e-15,5.675983867501081e-15,10,93,22
1752675619974.0,-5.400837638010561e-15,5.597006515578067e-15,10,93,22
1752675620014.0,-5.382644499698994e-15,5.55557926354655e-15,10,93,22
1752675620054.0,-5.4190395289959046e-15,5.560963287298229e-15,10,90,21
1752675620094.0,-5.518587640711051e-15,5.614044865639364e-15,10,90,21
1752675620134.0,-5.682573219135498e-15,5.685959374510918e-15,10,90,21
1752675620174.0,-5.853007259380943e-15,5.719427057945048e-15,10,90,21
1752675620214.0,-5.992732120154394e-15,5.701317775895175e-15,10,90,21
1752675620254.0,-6.038246870840957e-15,5.617457843724754e-15,10,90,21
1752675620294.0,-5.952833197902511e-15,5.451121748874028e-15,9,90,21
1752675620334.0,-5.7979896460686346e-15,5.243139585147294e-15,9,90,21
1752675620374.0,-5.657687108825737e-15,5.0581642479665605e-15,9,90,21
1752675620414.0,-5.620532855664528e-15,4.968960667281571e-15,10,90,21
1752675620454.0,-5.634881876120983e-15,4.934777523352045e-15,10,90,21
1752675620494.0,-5.644681482622285e-15,4.904070884978888e-15,10,90,21
1752675620534.0,-5.625723755904427e-15,4.854871540975452e-15,10,93,22
1752675620574.0,-5.602294259918172e-15,4.8031384390849975e-15,10,93,22
1752675620614.0,-5.590287850247164e-15,4.7767033878605736e-15,10,93,22
1752675620654.0,-5.55088246585872e-15,4.753906907829599e-15,10,90,21
1752675620694.0,-5.499478295095788e-15,4.765411591652018e-15,10,90,21
1752675620734.0,-5.4546730756739974e-15,4.801101607193203e-15,10,90,21
1752675620774.0,-5.439544502562533e-15,4.8651875552297464e-15,10,87,21
1752675620814.0,-5.471053563480253e-15,4.957897569968546e-15,10,87,21
1752675620854.0,-5.504203891903794e-15,5.041578495842958e-15,10,87,21
1752675620894.0,-5.589544720008849e-15,5.159392873047377e-15,10,87,21
1752675620934.0,-5.600919525446153e-15,5.191001319164142e-15,10,87,21
1752675620974.0,-5.635656346578315e-15,5.234125178187313e-15,10,87,21
1752675621014.0,-5.644394338453451e-15,5.242004560999109e-15,11,90,22
1752675621054.0,-5.743168826744212e-15,5.335103363860308e-15,11,90,22
1752675621094.0,-5.8300046679996756e-15,5.413469157996016e-15,11,90,22
1752675621134.0,-5.893781449010781e-15,5.4730107742750826e-15,11,87,22
1752675621174.0,-5.918163010028799e-15,5.488654061073649e-15,11,87,22
1752675621214.0,-5.926125684413658e-15,5.488714482757159e-15,11,87,22
1752675621254.0,-5.9417644537031755e-15,5.494384803644726e-15,11,87,22
1752675621294.0,-5.921645162471479e-15,5.4665933703287875e-15,11,87,22
1752675621334.0,-5.9154316111209505e-15,5.447208456661626e-15,11,87,22
1752675621374.0,-5.871717652478448e-15,5.3915199932557636e-15,12,90,23
1752675621414.0,-5.868140067657141e-15,5.372894021108585e-15,12,90,23
1752675621454.0,-5.8150189611118385e-15,5.304959437707882e-15,12,90,23
1752675621494.0,-5.816541926349479e-15,5.282941945643287e-15,12,90,23
1752675621534.0,-5.7837230701522985e-15,5.226074977064658e-15,12,90,23
1752675621574.0,-5.770118026967105e-15,5.198214369391431e-15,12,90,23
1752675621614.0,-5.6863315043187066e-15,5.128362668088693e-15,12,90,23
1752675621654.0,-5.590917760414976e-15,5.0777493437533886e-15,12,90,23
1752675621694.0,-5.499389638980731e-15,5.049810526704776e-15,12,90,23
1752675621734.0,-5.450936813347395e-15,5.063298679343366e-15,13,87,23
1752675621774.0,-5.415263456120822e-15,5.0774506234676215e-15,13,87,23
1752675621814.0,-5.382647323142148e-15,5.0763257637147935e-15,13,87,23
1752675621854.0,-5.370566374571857e-15,5.0726055950141705e-15,13,87,23
1752675621894.0,-5.357939654439764e-15,5.051276458390691e-15,13,87,23
1752675621934.0,-5.3839814000327394e-15,5.0534747912309334e-15,13,87,23
1752675621974.0,-5.369026468675288e-15,5.019874970657165e-15,13,90,24
1752675622014.0,-5.394263250624863e-15,5.023915035467213e-15,13,90,24
1752675622054.0,-5.389441092060966e-15,5.0053777194350885e-15,13,90,24
1752675622094.0,-5.409461562782248e-15,5.008680865581763e-15,13,87,23
1752675622134.0,-5.4198809150560035e-15,5.000351990619741e-15,13,87,23
1752675622174.0,-5.388236893555491e-15,4.951793568212421e-15,13,87,23
1752675622214.0,-5.3559934550732345e-15,4.899847578708101e-15,13,90,24
1752675622254.0,-5.227462981719504e-15,4.760073590023759e-15,13,90,24
1752675622294.0,-5.1773626770054056e-15,4.690207206816618e-15,13,90,24
1752675622334.0,-5.1249974061926164e-15,4.613613405604794e-15,13,90,24
1752675622374.0,-5.1927620183154065e-15,4.643489951690472e-15,13,90,24
1752675622414.0,-5.200004150007188e-15,4.608421375987634e-15,13,90,24
1752675622454.0,-5.21640666067005e-15,4.586008319537066e-15,13,93,24
1752675622494.0,-5.185443653658447e-15,4.516760552725117e-15,13,93,24
1752675622534.0,-5.171184136349997e-15,4.466201156154068e-15,13,93,24
1752675622574.0,-5.1210358331022705e-15,4.380821929222108e-15,13,93,24
1752675622614.0,-5.055248195876394e-15,4.303533843338546e-15,13,93,24
1752675622654.0,-5.000663698744018e-15,4.264046296754301e-15,13,93,24
1752675622694.0,-4.972038220320184e-15,4.274123165373393e-15,13,93,24
1752675622734.0,-4.9597206672135294e-15,4.301305017312233e-15,13,93,24
1752675622774.0,-4.9407273651119226e-15,4.314645503873833e-15,13,93,24
1752675622814.0,-4.934153824759173e-15,4.3260296266735454e-15,13,93,24
1752675622854.0,-4.9636189951772115e-15,4.3552415342406084e-15,13,93,24
1752675622894.0,-4.992560416890055e-15,4.368984643796066e-15,13,93,24
1752675622934.0,-4.9699175321666946e-15,4.316639984118305e-15,13,93,24
1752675622974.0,-4.9188973496728e-15,4.2317751885291306e-15,13,93,24
1752675623014.0,-4.882574035832017e-15,4.158048029152265e-15,13,93,24
1752675623054.0,-4.919913789208489e-15,4.167998407518027e-15,13,93,24
1752675623094.0,-4.966425215328659e-15,4.1967272239613214e-15,13,93,24
1752675623134.0,-4.986115907889473e-15,4.207284924949657e-15,13,93,24
1752675623174.0,-4.983564362310579e-15,4.18971181475486e-15,13,93,24
1752675623214.0,-4.9629659327755316e-15,4.14714812685358e-15,13,93,24
1752675623254.0,-5.019970967724425e-15,4.167390802551137e-15,13,93,24
1752675623294.0,-5.051567273035624e-15,4.162481117249444e-15,13,96,24
1752675623334.0,-5.1114172093071855e-15,4.185385735153244e-15,13,96,24
